column_1,column_2,column_3,column_4
187,214643,339243,374161
188,389172,280971,271326
189,712603,707874,581045
190,22670,772307,501346
191,640853,877582,577554
192,547096,426628,407424
193,725720,857235,71060
194,464415,133748,720538
195,961560,696912,366194
196,940095,743022,218464
197,59257,112897,843915
198,930195,287023,127840
199,776468,838459,899229
200,190620,142154,171723
201,984169,929527,679957
202,24048,306227,888787
203,805261,717512,655611
204,821044,3660,714315
205,994721,786946,36618
206,192430,820076,288003
207,25527,615874,707592
208,10857,733951,809710
209,367202,974327,328654
210,386230,870889,978023
211,163966,625661,865199
212,586367,210097,5346
213,529006,89865,236119
214,415756,115200,395910
215,691706,204686,992841
216,445565,424700,526015
217,668624,392102,44823
218,196311,251967,815795
219,381088,175512,58297
220,820497,897275,277730
221,900983,407093,303666
222,92143,730324,538272
223,406316,37980,562574
224,826486,882984,115790
225,457203,482158,924663
226,700555,51648,728181
227,199400,174823,832180
228,512706,515386,842567
229,651045,507423,862749
230,115799,913413,612800
231,364535,616252,360573
232,19203,838004,543805
233,394319,760047,311207
234,978087,778808,441620
235,493617,110672,669309
236,775454,976354,364640
237,459985,422747,733354
238,533754,634593,994570
239,821593,818645,795661
240,513908,387240,26928
241,956914,548227,773925
242,821871,557300,78296
243,846611,704863,339723
244,368645,820499,882066
245,777304,919983,996445
246,348174,152367,116678
247,495126,967669,797064
248,841345,342358,74122
249,569282,357600,828396
250,509812,648013,232998
251,843789,77263,401906
252,487006,468976,262618
253,982547,655651,677854
254,6418,565990,380515
255,811795,755231,598167
256,996383,133564,439188
257,141125,297529,930536
258,429011,71413,268764
259,945878,262660,6791
260,103374,531587,893859
261,855610,171234,558791
262,578425,253594,640548
263,293239,625131,641330
264,813060,869035,24724
265,239333,710269,324619
266,858929,744098,921882
267,553684,793010,66963
268,138088,523263,176877
269,63369,913841,531488
270,986984,94315,486742
271,481266,982401,877310
272,966997,768032,212941
273,255351,532806,391523
274,140738,20510,561320
275,124483,391069,55230
276,589589,934810,359259
277,624520,85131,680048
278,548350,196709,56503
279,509434,292098,904364
280,954266,696251,978116
281,647296,953471,977857
282,978708,414836,10978
283,969397,641733,168942
284,874,576248,609769
285,770624,919149,587798
286,782098,777980,853970
287,794319,874175,957430
288,518957,279934,234612
289,890441,121591,443539
290,555448,323418,546687
291,232720,640755,281478
292,420331,891315,52771
293,948101,474296,769641
294,587438,484470,427550
295,52272,325800,356900
296,837695,340211,6845
297,50377,612481,291685
298,570289,256115,587288
299,167390,254019,284311
300,125030,601036,525220
301,23319,815735,70493
302,253838,278830,603901
303,420804,388791,525915
304,991212,125012,697651
305,36617,416225,653590
306,639568,142464,419098
307,540053,988636,279349
308,20222,255199,774785
309,179112,686247,609503
310,819571,972441,295307
311,439363,543960,284729
312,434657,221895,189924
313,158598,636117,320609
314,203976,447095,977707
315,190971,853166,793075
316,258897,623956,892659
317,944519,85032,704890
318,303273,821342,167857
319,506483,519562,597742
320,651717,168383,931476
321,214137,684386,69412
322,588918,607394,193078
323,263905,577013,171272
324,718444,858174,557888
325,913343,552426,574390
326,601969,812478,181642
327,133873,19210,749956
328,778867,646317,751087
329,89827,856506,581865
330,337351,416641,439956
331,274908,730171,354095
332,668634,96219,540557
333,127747,15221,41067
334,320961,363027,54649
335,956236,167614,673205
336,800095,184258,894724
337,21216,959016,339912
338,50334,413253,105164
339,677376,672381,124691
340,919598,179942,718773
341,859532,397278,725818
342,357551,616159,675367
343,437691,626526,233316
344,526028,667361,601054
345,309732,38262,982975
346,130919,471358,899349
347,979475,511728,245751
348,876416,947472,103142
349,32453,50434,729430
350,156759,553946,728918
351,804787,773268,692642
352,465300,116468,621672
353,757651,701253,702156
354,624233,140902,781377
355,377551,421469,939101
356,732747,695627,165082
357,144755,521042,776747
358,705144,219516,114245
359,135348,536596,609145
360,30883,255490,727270
361,85947,271514,814956
362,596106,343246,551862
363,792876,977959,342335
364,556838,204168,213756
365,647712,579202,111945
366,627966,94343,160320
367,185553,559423,765718
368,971861,307284,85075
369,171527,800999,819224
370,516223,413894,183826
371,312656,519010,638375
372,519629,881106,110225
373,227737,948537,741209
374,239251,403113,636275
375,798639,321040,486724
376,143160,792395,775343
377,77590,679051,173614
378,471094,258071,924023
379,451023,819018,911607
380,454865,841323,193817
381,657760,821380,373595
382,41355,846377,340173
383,612830,339435,530138
384,591944,840944,727090
385,544369,662678,207004
386,495141,41820,550520
387,665266,349696,384032
388,950218,234359,260286
389,975912,115230,788608
390,128301,489147,387609
391,116710,493967,269827
392,411966,569387,486089
393,286441,897500,93983
394,415353,211958,302746
395,992263,264854,395424
396,81355,609266,371152
397,775008,330583,347485
398,834276,767339,734318
399,238607,850301,392218
400,994058,142461,836609
401,284016,959002,858414
402,408313,293239,534814
403,766703,588423,81433
404,901145,409898,763744
405,14604,360951,430619
406,644594,41332,636322
407,888557,958290,953800
408,323798,369929,835433
409,962767,531229,432223
410,435702,939674,167620
411,783373,638005,398182
412,634724,725054,225787
413,974918,259116,762108
414,841234,237614,439540
415,44077,435319,627356
416,260193,902406,754396
417,784123,518157,885907
418,382919,243485,465124
419,939425,835083,331824
420,817484,411499,408236
421,363193,575332,821672
422,302267,487769,939510
423,735570,298182,417045
424,749532,657272,634134
425,602820,289111,886601
426,493043,90709,629329
427,943972,68033,758050
428,824440,679821,750295
429,171006,454266,361526
430,772849,834907,303710
431,73176,487643,91706
432,419541,127313,6421
433,378279,940560,883061
434,61699,184606,493098
435,468326,850571,452334
436,549654,815909,696016
437,625305,293671,81150
438,955598,50446,770892
439,89550,419855,303402
440,789834,396521,640185
441,633555,811770,728568
442,505063,900491,50617
443,493498,755403,101546
444,297125,937763,921844
445,615321,985952,206550
446,960438,737440,470198
447,465977,654465,817360
448,350841,668104,137574
449,567885,852973,91323
450,486744,172814,317654
451,780577,761239,333064
452,674618,141829,728291
453,55083,638235,449635
454,992640,706059,837261
455,136308,492989,462008
456,132520,785953,606567
457,53250,761386,825581
458,591396,421843,600453
459,184009,687223,933170
460,815955,253268,236232
461,499112,337005,801211
462,733719,259297,217737
463,346777,665612,381896
464,421405,991826,962148
465,105865,349117,806837
466,734008,308520,632254
467,687186,473767,903078
468,950334,410056,49392
469,784703,779470,871106
470,695320,418731,3164
471,469225,982001,76434
472,726017,771436,187220
473,828404,993806,30667
474,235193,420099,368419
475,562041,192741,998502
476,247978,912009,605899
477,816434,768854,203132
478,349198,576340,292859
479,407824,760501,775768
480,922439,182889,689340
481,885429,909173,555457
482,238521,957349,933989
483,955117,47816,82352
484,657760,830029,540707
485,285776,198180,61180
486,36031,14722,178727
487,640938,696913,717732
488,179281,528215,446173
489,493087,390321,149851
490,909947,800808,322200
491,700690,224156,199427
492,797852,357656,575110
493,775449,319586,169400
494,895726,598138,510282
495,279560,287028,725698
496,247471,201654,631576
497,349797,910958,961846
498,536184,78778,938727
499,878569,617263,461747
500,221689,174869,641856
501,907412,468459,78525
502,582576,112575,150266
503,512074,805373,949716
504,65863,104710,83591
505,30572,285340,953992
506,650606,336711,302939
507,811762,307570,200706
508,594461,8049,461410
509,999959,172637,125806
510,392542,98830,157722
511,213800,327409,192443
512,567214,199507,187725
513,551231,99365,55944
514,201173,594853,185344
515,934709,75920,787551
516,375226,59877,254218
517,639834,145234,65191
518,420673,605661,427774
519,983947,653368,872932
520,931163,764960,933808
521,812438,228260,465704
522,636810,640458,999702
523,182368,686355,144421
524,766305,340933,995986
525,943894,591800,440388
526,897402,828493,296858
527,96920,918857,87166
528,648848,334491,823190
529,571084,73895,553763
530,323234,483452,291485
531,194993,885105,371242
532,210307,670453,507953
533,295386,137975,180077
534,136562,85640,545173
535,755477,795254,273444
536,954626,8889,438871
537,41607,870502,212342
538,223235,224456,140821
539,515525,108577,213989
540,511506,672856,775311
541,716835,256987,207121
542,362836,373486,700067
543,237937,16056,304608
544,178984,206178,661385
545,122033,430702,521391
546,773217,218768,624467
547,578229,776060,147453
548,961838,316127,795224
549,626665,767082,902270
550,437914,269097,843300
551,173355,139624,209970
552,955239,223074,156131
553,181863,606312,324840
554,112010,15235,738725
555,750330,537930,771923
556,342830,30406,438548
557,387620,799731,839815
558,94572,257970,35243
559,597719,200261,871922
560,620996,971901,131637
561,583861,281441,435173
562,740095,556157,796270
563,639876,690297,692867
564,704794,618933,740483
565,96591,365029,961616
566,386427,534122,131494
567,212827,8033,445916
568,870061,887662,973432
569,931791,791621,140044
570,871890,768201,862964
571,522146,70905,119046
572,89922,629846,533354
573,484639,837524,977908
574,490489,554973,601171
575,698994,419633,648990
576,89274,55404,45346
577,197804,221474,835991
578,631499,444238,314424
579,713036,464900,288443
580,860737,282021,336292
581,979872,426237,451182
582,444105,116134,204501
583,186370,45193,959228
584,652793,38056,182521
585,729225,705591,64407
586,667398,899934,639593
587,485974,438684,491431
588,239791,151438,953052
589,43258,954662,287059
590,408757,344678,93743
591,522054,355539,645245
592,666897,418876,662864
593,654385,946569,503418
594,977964,543520,103503
595,1496,428144,269913
596,819927,584034,47149
597,301271,636987,92087
598,849759,196160,739674
599,839209,19844,885045
600,700636,204455,509967
601,267269,848522,840872
602,366404,500119,799792
603,855173,761501,83998
604,68291,219665,451640
605,172541,559735,628417
606,290554,174208,749209
607,225707,40354,196176
608,248026,499822,196102
609,100377,206234,11503
610,722214,750533,104758
611,336149,170964,906965
612,981938,554954,845361
613,384497,870977,658368
614,169239,21542,574279
615,379187,248139,345196
616,622679,690599,715538
617,228057,640379,552156
618,818898,322996,358865
619,559376,242042,676007
620,245268,999646,621110
621,967317,14680,298905
622,459519,436634,612533
623,304724,701595,208603
624,540244,772017,920666
625,255946,102440,882854
626,751269,668292,800911
627,282632,567109,878999
628,246012,979012,915583
629,364374,794559,280551
630,162384,73862,269694
631,949088,443940,922419
632,146478,690161,649526
633,335041,108621,114198
634,285522,309093,730812
635,135493,26599,982842
636,105159,147697,841566
637,563868,107564,104076
638,746715,46008,296292
639,228021,96524,600125
640,25585,230123,798030
641,91809,815306,602344
642,578271,174049,827408
643,814692,121607,127077
644,778776,955581,820318
645,456641,914952,961473
646,360579,153239,473413
647,26214,945049,777736
648,586389,410024,46434
649,292566,42089,698765
650,363239,487689,407079
651,353520,300630,454511
652,172708,754628,14857
653,581868,765761,774096
654,506212,340130,135691
655,357378,917836,131786
656,875011,222141,171275
657,30438,416921,406030
658,32478,186351,584728
659,543634,757164,288066
660,897003,56649,897642
661,400179,326995,143421
662,31468,921630,601001
663,36232,142130,115083
664,301808,172610,692653
665,459423,961170,362170
666,945661,807273,973548
667,468356,776006,523671
668,210936,375608,948777
669,807960,688473,194619
670,880784,758757,441448
671,770241,822100,19634
672,325230,721565,749636
673,962092,896451,922359
674,433105,394908,45169
675,691634,300916,614194
676,205149,31150,538502
677,52009,66928,519195
678,455040,424287,733667
679,927531,311399,46356
680,901061,710009,927234
681,729213,480272,67641
682,313971,446873,681615
683,652456,899129,313159
684,103215,47128,217589
685,749854,140059,115827
686,486369,944815,879964
687,812430,500781,657330
688,547715,177879,695577
689,495245,438686,841584
690,89563,653445,821560
691,725140,253789,30887
692,293077,149577,673271
693,298516,865358,869464
694,602430,692371,163879
695,843624,385038,381201
696,559087,477666,8342
697,604801,770211,782207
698,168529,742371,390489
699,423552,510779,701521
700,447774,960104,370432
701,670300,213588,975284
702,725134,213306,738152
703,826530,927088,287719
704,775539,303841,717697
705,45184,174819,53483
706,588637,378451,377703
707,542267,727214,477119
708,969033,53689,231826
709,722888,924197,737622
710,573757,634120,56182
711,24517,638343,514399
712,766621,380748,180878
713,321268,922925,934112
714,390594,998281,359961
715,82244,561514,972904
716,583800,420539,699353
717,306987,736797,429719
718,585183,814405,671787
719,655934,527291,528076
720,931527,203411,762624
721,804596,658241,756871
722,880751,553121,285379
723,326311,277240,20015
724,502270,755365,391996
725,612053,702300,866361
726,154698,921141,732531
727,198673,881151,224179
728,156558,795076,190682
729,695655,333509,424947
730,565002,884168,173118
731,596228,540100,781563
732,864334,605239,634032
733,407885,471567,578905
734,550390,263316,322047
735,477252,704233,66010
736,370888,4584,102869
737,362302,125006,458324
738,93237,31328,648875
739,839230,617920,194563
740,79055,20076,419589
741,33383,696416,116106
742,795721,800133,766481
743,194292,757814,552002
744,985031,19200,881261
745,949929,933355,705308
746,779973,866426,239756
747,817252,393479,953384
748,280912,851478,786572
749,256626,865085,96360
750,621887,150212,120530
751,968919,854886,705449
752,506904,110337,488265
753,532057,621977,41729
754,59213,116857,445766
755,456288,400046,896744
756,901900,714467,853972
757,461953,787756,49842
758,444915,390946,968204
759,931402,163929,355106
760,393453,386001,452519
761,575782,374059,251412
762,569402,175688,484257
763,606309,455424,422850
764,580342,792046,299285
765,763,206183,471543
766,810339,621692,131200
767,608777,338872,391080
768,847256,901085,153635
769,935377,990214,768058
770,151235,195804,801661
771,141180,20553,82776
772,107790,579935,872291
773,71975,253451,917725
774,588165,396341,626589
775,611937,890489,416606
776,543925,503243,61401
777,957848,666057,535188
778,199108,398164,996596
779,356174,844384,468449
780,526426,100580,753945
781,664544,519389,548842
782,208953,597717,582026
783,584051,784720,373657
784,884395,100013,187054
785,229819,865340,486055
786,453353,682652,386862
787,710337,684560,937305
788,372220,867050,577976
789,603750,104175,567190
790,789137,375319,319131
791,659446,488221,628816
792,409560,744264,415883
793,682373,737704,962514
794,656166,668135,400944
795,387024,571043,647645
796,573219,246496,380175
797,453621,576056,795783
798,948427,364133,568420
799,329470,309606,238456
800,409616,149961,738377
801,46033,744426,755565
802,808433,143189,670634
803,118533,624320,26713
804,634461,923869,355020
805,747604,642416,764554
806,431242,600041,160958
807,930943,195513,234249
808,270914,562898,442652
809,621755,461711,951173
810,638383,964031,434278
811,544094,787082,465254
812,316301,924231,191829
813,13534,724807,438970
814,500393,538697,316140
815,761354,394145,523626
816,439258,239390,555328
817,774940,419320,866393
818,358251,395810,383068
819,545805,756186,815926
820,346009,442814,684689
821,33809,355310,725158
822,50238,206496,455446
823,724193,706511,8297
824,478699,431587,839138
825,605106,265861,798
826,95173,84365,770528
827,224972,561857,466253
828,612606,653816,408488
829,439260,926971,63473
830,571830,102247,583511
831,616040,311872,403003
832,654745,89272,940362
833,869588,78885,815527
834,677694,100047,556129
835,721793,440056,82831
836,360681,977799,836276
837,365881,402926,3009
838,445431,790531,902686
839,33088,548100,753225
840,868060,522444,673812
841,961136,476073,366305
842,584732,250974,514596
843,960990,846976,705546
844,75311,483416,810865
845,194106,645609,352666
846,919109,244967,100206
847,929127,944391,143804
848,34556,115416,54811
849,629005,18244,877514
850,128645,564653,983031
851,923108,183888,39474
852,884462,838407,600840
853,509988,837147,445502
854,547427,661307,611867
855,501093,696441,316332
856,258546,262630,455499
857,670935,613281,758436
858,339852,168680,256012
859,82612,15654,942672
860,116636,232136,875359
861,239190,708557,22441
862,30191,319697,622600
863,607465,499924,976615
864,877139,977710,428738
865,333489,363393,237923
866,364991,734302,199931
867,145169,243756,844479
868,86824,114229,795268
869,926301,5569,608970
870,669977,219845,542686
871,532105,412007,780691
872,922054,617366,464944
873,61869,443757,425227
874,856649,956247,572190
875,349678,329986,842489
876,993528,928001,270317
877,689813,408877,233063
878,451746,239570,843002
879,68503,191743,611408
880,596283,784219,176270
881,31374,688862,930709
882,558713,238818,258065
883,10382,465788,991092
884,448624,67000,477235
885,576931,300775,594141
886,543892,460494,172926
887,627762,247076,349967
888,850767,542267,41150
889,565400,127167,339450
890,368199,930226,348824
891,122275,497834,950319
892,843169,25877,558767
893,696355,865772,990469
894,399341,402710,914616
895,620708,458291,837698
896,591809,607442,87773
897,655629,968408,417893
898,281844,159336,631498
899,904435,16866,880605
900,197640,254214,685599
901,442261,512691,5819
902,380138,807448,800627
903,517677,854525,302121
904,587596,521685,160209
905,782778,468119,745729
906,126183,453820,552550
907,392673,798356,874851
908,567035,899695,463531
909,937872,91102,67466
910,63657,588335,421082
911,584793,443401,931886
912,208300,442694,891774
913,723179,668341,41144
914,843500,425812,792654
915,259178,898133,353693
916,679807,498369,465048
917,17343,786959,10338
918,670831,34277,853298
919,884366,393310,966317
920,42754,664754,910772
921,860282,688175,946730
922,860069,667985,533073
923,832384,816994,657689
924,250452,795385,225878
925,435071,352706,168223
926,223603,823088,793870
927,226115,760499,325577
928,837563,592055,308953
929,383346,863186,93253
930,782397,47562,864719
931,432640,457474,172313
932,365315,162897,348855
933,121792,285334,167039
934,434341,696010,658845
935,95416,53842,920674
936,712965,388817,366846
937,656793,325948,915672
938,281105,384330,857767
939,526843,543942,986629
940,627716,370323,325053
941,856644,804593,517312
942,885271,193103,319718
943,51328,139973,982340
944,638325,289412,373697
945,74196,589688,602704
946,830177,38907,744992
947,845920,693437,138234
948,592749,975575,29997
949,794282,413194,269915
950,486910,61767,269549
951,830116,476537,332686
952,571249,615925,486169
953,972796,425307,943459
954,474573,731659,323149
955,891029,406253,640529
956,137377,870255,533322
957,757361,454815,505398
958,555386,370867,5770
959,144685,256026,310058
960,510373,965879,465775
961,956740,945904,173294
962,567577,632181,114080
963,875006,177650,51632
964,211952,71852,555911
965,295546,813716,883621
966,638483,294548,514147
967,206937,86611,499154
968,278506,271829,638413
969,845814,512496,382686
970,400381,121719,833615
971,135116,538487,294974
972,664839,329277,82242
973,790608,615958,883004
974,610693,672384,484766
975,263773,342116,288854
976,538315,576644,374837
977,560205,188053,537943
978,565164,125854,228372
979,407823,827047,976864
980,584683,550694,488532
981,19257,730154,782858
982,199705,777567,217873
983,824919,343050,534754
984,337286,799716,977022
985,867234,392442,996850
986,147330,370871,257928
987,768658,972904,196303
988,535974,829929,981954
989,757319,523206,200711
990,977611,530687,835991
991,121132,954112,790873
992,500836,920951,539660
993,511197,524820,212937
994,182474,542083,779295
995,136296,12802,388623
996,543367,539379,506864
997,565474,936663,794850
998,820679,323475,39893
999,479381,229941,970376
1000,333843,817634,741955
1001,926584,855089,259527
1002,648302,272808,364662
1003,779743,151318,116231
1004,582455,859070,396028
1005,468108,242192,510884
1006,351886,217196,853917
1007,454349,729850,392701
1008,769501,142769,865371
1009,544174,762373,217147
1010,318820,359429,664048
1011,1097,878784,766241
1012,684722,493710,216358
1013,674906,224761,673569
1014,943918,152996,77374
1015,34336,640679,584472
1016,70966,354504,698252
1017,949189,262684,883058
1018,585193,207374,862024
1019,504329,340791,197580
1020,538848,691246,678253
1021,76858,295052,240161
1022,594995,184484,784852
1023,217642,342829,979482
1024,255232,292554,552017
1025,14019,501981,616979
1026,769963,373069,918422
1027,837076,499707,986458
1028,475110,299649,708175
1029,80549,341354,217420
1030,106815,700721,138835
1031,820756,889022,273739
1032,534525,460292,844573
1033,256529,504119,618464
1034,996471,301123,551056
1035,630766,334019,129809
1036,358189,295985,884300
1037,426049,510120,944531
1038,864523,156910,979145
1039,160629,156521,554281
1040,605677,4196,65365
1041,650587,442182,178330
1042,35838,965238,925466
1043,822922,565570,863481
1044,328801,460758,977757
1045,282531,988644,198631
1046,235831,570088,55893
1047,681628,528952,755195
1048,979551,917101,922215
1049,613694,60983,353360
1050,211820,811066,544536
1051,729952,630880,281052
1052,931941,298503,543180
1053,205506,227799,738002
1054,302398,400204,449288
1055,756450,795156,900521
1056,414667,356353,995636
1057,901801,832871,592196
1058,643003,903001,976815
1059,746324,919557,981219
1060,594150,928437,738209
1061,433605,377844,623969
1062,909567,400199,197777
1063,433678,488146,880744
1064,605963,652915,89447
1065,999109,116469,216150
1066,56811,534692,471704
1067,896146,184275,792916
1068,585300,328260,616717
1069,22217,492331,811385
1070,285905,913750,120787
1071,599359,826033,603424
1072,659546,685089,516746
1073,453792,659035,246603
1074,664277,637954,803659
1075,848497,173595,821101
1076,676989,105676,786002
1077,819181,525776,34412
1078,945575,498883,912985
1079,432464,541320,157345
1080,611237,542874,754067
1081,377879,36599,781157
1082,639968,389916,551366
1083,931113,865121,939395
1084,322692,743963,254433
1085,687227,114370,855075
1086,171961,627532,57575
1087,902469,691262,500472
1088,333795,583920,851736
1089,401481,408340,232138
1090,132628,50197,363810
1091,32238,834707,286990
1092,933847,846661,461477
1093,259008,803096,414931
1094,996457,382564,351812
1095,88853,439835,653849
1096,474994,631398,79391
1097,877173,699893,434345
1098,951678,101723,721908
1099,566004,512299,729671
1100,602776,515542,912972
1101,614839,791203,862770
1102,564667,423198,570627
1103,586676,329355,908112
1104,347423,738491,712623
1105,125388,146116,90633
1106,274762,627065,698255
1107,632278,212056,323936
1108,109148,768370,262288
1109,842907,196220,368607
1110,484684,739913,857707
1111,103883,42206,995185
1112,425635,434215,453879
1113,174380,342290,543402
1114,898122,547681,567281
1115,186726,801757,73092
1116,236393,263546,703031
1117,271650,310853,308514
1118,639292,181040,256509
1119,26954,407914,7782
1120,769448,204896,257490
1121,531356,792415,583538
1122,547798,482518,109135
1123,797761,71843,687628
1124,735511,873237,433767
1125,602164,886462,522076
1126,400761,124339,257948
1127,907192,84968,933412
1128,330477,315181,480229
1129,534480,22282,470316
1130,901982,109511,841027
1131,202866,962467,420350
1132,98054,347126,478345
1133,113232,342419,140207
1134,140929,627537,301301
1135,104889,129722,772269
1136,53369,668427,762031
1137,407048,683985,790417
1138,882007,854139,223450
1139,527643,692255,980692
1140,739884,6970,326283
1141,691978,799168,644630
1142,286114,827690,181068
1143,885932,47589,800235
1144,363591,256702,975346
1145,810405,339894,137461
1146,159200,859554,431283
1147,596824,951451,338455
1148,690276,970422,344498
1149,22294,335703,795310
1150,515722,322492,207180
1151,576322,227070,627061
1152,25003,512593,613548
1153,784270,872828,227939
1154,415306,352473,386517
1155,642311,78356,581235
1156,990900,782056,726200
1157,95394,67276,553323
1158,384055,148780,172521
1159,318340,232162,151237
1160,2413,408702,886058
1161,900930,971890,424237
1162,697486,685279,698396
1163,287253,45417,443979
1164,406054,908923,270172
1165,240639,985649,794536
1166,621712,444346,893813
1167,713167,449737,649025
1168,108329,109096,565457
1169,907358,123916,729695
1170,685850,692653,671493
1171,652179,969113,24928
1172,487105,685141,23155
1173,30012,711812,215833
1174,995768,897557,25956
1175,433928,50736,334587
1176,781924,561916,718075
1177,240973,139537,849060
1178,531001,498248,632781
1179,938400,455026,783270
1180,503727,365696,853022
1181,657008,173490,554400
1182,892471,974439,745350
1183,329642,291930,978001
1184,597461,810948,372262
1185,486806,682266,174385
1186,142125,810519,189430
1187,693763,134187,523243
1188,682194,567816,383086
1189,944820,335862,870409
1190,345231,429302,983293
1191,938545,358167,9449
1192,356894,478262,739432
1193,799161,230264,9098
1194,123320,100567,924051
1195,646241,199813,434700
1196,531623,804107,200925
1197,331741,143795,253679
1198,483807,287188,319332
1199,722309,934861,307629
1200,486928,920103,954466
1201,628245,757480,807512
1202,604438,101748,607469
1203,962277,572460,437324
1204,482959,491214,247736
1205,87639,41427,21132
1206,397429,121076,267006
1207,705562,94758,737124
1208,716288,415096,462803
1209,757382,635425,120423
1210,518051,16774,327290
1211,212691,598381,413052
1212,350303,594780,753521
1213,118472,229183,864990
1214,32387,613600,243345
1215,336988,500197,181860
1216,772899,321650,47071
1217,21374,916157,192405
1218,263498,340285,226917
1219,687693,547362,862194
1220,570779,159808,955379
1221,291326,337937,391088
1222,995726,307290,527476
1223,772405,159858,523000
1224,719272,623578,816939
1225,648281,119278,47793
1226,502198,774687,278515
1227,67674,670464,424845
1228,792687,748658,258571
1229,966,824870,868761
1230,280964,874045,507520
1231,242936,821011,954439
1232,281129,801187,899509
1233,595229,15385,351219
1234,592007,964529,696486
1235,155863,234820,645106
1236,147564,238693,974772
1237,365938,866996,754356
1238,205274,179611,274227
1239,124158,462235,160052
1240,844895,491680,566242
1241,324076,792488,283079
1242,204718,260158,884603
1243,249677,235875,62090
1244,896163,451717,183063
1245,37002,698314,685608
1246,529350,815754,258564
1247,833452,489819,752061
